numero,latitud,longitud,fecha,tmax,tmin
22581,22.16502778,-102.2951944,2003-07-19 00:00:00,25.9,9.7
22581,22.16502778,-102.2951944,2003-07-20 00:00:00,26.1,10.7
22581,22.16502778,-102.2951944,2003-07-21 00:00:00,26.3,13.1
22581,22.16502778,-102.2951944,2003-07-22 00:00:00,29.4,13.2
22581,22.16502778,-102.2951944,2003-07-23 00:00:00,27.2,12.4
22581,22.16502778,-102.2951944,2003-07-24 00:00:00,27.4,11.4
22581,22.16502778,-102.2951944,2003-07-25 00:00:00,27.4,11.7
22581,22.16502778,-102.2951944,2003-07-26 00:00:00,27.2,11
22581,22.16502778,-102.2951944,2003-07-27 00:00:00,23.9,15.2
22581,22.16502778,-102.2951944,2003-07-28 00:00:00,23.4,14.4
22581,22.16502778,-102.2951944,2003-07-29 00:00:00,24.1,14.4
22581,22.16502778,-102.2951944,2003-07-30 00:00:00,25.2,13.9
22581,22.16502778,-102.2951944,2003-07-31 00:00:00,23,14.4
22581,22.16502778,-102.2951944,2003-08-01 00:00:00,25.6,14.8
22581,22.16502778,-102.2951944,2003-08-02 00:00:00,26.4,12.8
22581,22.16502778,-102.2951944,2003-08-03 00:00:00,25.9,12.4
22581,22.16502778,-102.2951944,2003-08-04 00:00:00,28.1,12.1
22581,22.16502778,-102.2951944,2003-08-05 00:00:00,26.1,12
22581,22.16502778,-102.2951944,2003-08-06 00:00:00,24.8,13.4
22581,22.16502778,-102.2951944,2003-08-07 00:00:00,26.9,13.2
22581,22.16502778,-102.2951944,2003-08-08 00:00:00,27.7,11.1
22581,22.16502778,-102.2951944,2003-08-09 00:00:00,28,12.1
22581,22.16502778,-102.2951944,2003-08-10 00:00:00,28,12.4
22581,22.16502778,-102.2951944,2003-08-11 00:00:00,27.4,11.6
22581,22.16502778,-102.2951944,2003-08-12 00:00:00,28,15.1
22581,22.16502778,-102.2951944,2003-08-13 00:00:00,26,11.3
22581,22.16502778,-102.2951944,2003-08-14 00:00:00,25.8,10.9
22581,22.16502778,-102.2951944,2003-08-15 00:00:00,24.9,14.6
22581,22.16502778,-102.2951944,2003-08-16 00:00:00,25.3,10.1
22581,22.16502778,-102.2951944,2003-08-17 00:00:00,25,14.4
22581,22.16502778,-102.2951944,2003-08-18 00:00:00,25.5,13.9
22581,22.16502778,-102.2951944,2003-08-19 00:00:00,25.5,12.9
22581,22.16502778,-102.2951944,2003-08-20 00:00:00,25.1,13.4
22581,22.16502778,-102.2951944,2003-08-21 00:00:00,22.6,14.5
22581,22.16502778,-102.2951944,2003-08-22 00:00:00,23.1,13.6
22581,22.16502778,-102.2951944,2003-08-23 00:00:00,19.4,14.3
